window,lookback,hold,gate,quality,cagr_net,cagr_gross,margin_net,vol,sharpe,max_dd,in_market,turnover_pct,cost_drag_pp,avg_n_held,n_rebal
first_half,6,top10pct,False,False,13.767216598363841,15.966542286366291,1.1479016148843613,24.200573618185736,0.568879763577932,-42.54110960276376,93.13404950957496,39.846097018164066,1.8965174304942711,18.862745098039216,102
second_half,6,top10pct,False,False,5.09089431451637,7.173101017395167,-2.573765993008359,24.476864992903437,0.20798800483609195,-56.50033205831739,99.11214953271028,40.83078790445776,1.9428445039962994,29.313725490196077,102
full,6,top10pct,False,True,-11.09514441080407,-7.510459020541759,-21.091553373141203,35.76813216948504,-0.3101963602189353,-94.3345730221154,94.08878504672897,82.18672606711579,3.8757737926912617,4.1911764705882355,204
first_half,6,top10pct,False,True,-14.133882532012553,-10.867604406952513,-26.753197515492033,36.84704469259524,-0.3835825274435887,-87.1463476605276,88.183092013078,77.62105928009827,3.664524108577638,3.049019607843137,102
second_half,6,top10pct,False,True,-8.0380981003768,-4.142529861138877,-15.702758407901529,34.618595442235126,-0.23219018558361898,-83.55903681617696,99.11214953271028,86.26219677570191,4.063917223764335,5.333333333333333,102
full,6,top10pct,True,False,14.886633084523515,16.534959746101464,4.890224122186382,19.788841832542335,0.7522740951945333,-24.99002979086613,68.24766355140187,29.646081928083728,1.4144482180876605,16.916666666666668,204
first_half,6,top10pct,True,False,17.335152981281542,18.85453748567414,4.715837997802062,20.856137263172503,0.8311775456086843,-24.99002979086613,61.046240074731436,26.77510064565253,1.2783563308011892,11.833333333333334,102
second_half,6,top10pct,True,False,12.662523504101397,14.433129837863067,4.997863196576668,18.574636645092195,0.6817104283677656,-21.603098397277343,74.57943925233644,32.452297209306046,1.54728472101614,22.0,102
full,6,top10pct,True,True,-3.4274743348824743,-0.7078487529368571,-13.423883297219607,27.494128443552277,-0.12466204709559581,-85.88543824019966,65.77102803738318,57.74551888995559,2.7390136559520384,2.7598039215686274,204
first_half,6,top10pct,True,True,-13.723370977197835,-11.613648814611022,-26.342685960677315,32.022812907172664,-0.42854982842946915,-85.88543824019966,56.095282578234475,50.23111014799967,2.386932070724024,1.7352941176470589,102
second_half,6,top10pct,True,True,7.992307323182213,11.409167435414602,0.327647015657484,21.973081924499635,0.36373174007379083,-50.759686916701895,74.57943925233644,64.76973155348014,3.0669469944771266,3.784313725490196,102
full,6,top20pct,False,False,8.597022469537063,10.400164839520777,-1.3993864928000708,21.33114117687897,0.40302684222330587,-55.63298709358495,96.56542056074767,34.2751903438632,1.633278693564355,48.64705882352941,204
first_half,6,top20pct,False,False,12.816426508142275,14.693583658540522,0.19711152466279458,20.019541275898288,0.6401958132563252,-34.54260383500395,93.13404950957496,34.34619801499585,1.6366714601811383,38.088235294117645,102
second_half,6,top20pct,False,False,4.771092242902442,6.510266470681625,-2.893568064622287,22.53298581782199,0.21173812833667371,-55.63298709358503,99.11214953271028,34.26725417332494,1.63287003723529,59.205882352941174,102
full,6,top20pct,False,True,-0.02660458580849845,3.9054422101949315,-10.02301354814563,26.78608068744482,-0.0009932242838710092,-74.08333182054898,94.08878504672897,80.21335560194383,3.7842549075043697,8.82843137254902,204
first_half,6,top20pct,False,True,2.768558107080943,6.5817919326297325,-9.850756876398538,26.25594745311216,0.10544498963615884,-61.281104301166536,88.183092013078,75.75499752090364,3.5777535321972587,6.53921568627451,102
second_half,6,top20pct,False,True,-2.625062841324699,1.3980553762034331,-10.289723148849427,27.27983418108499,-0.09622722865173565,-74.08333182054902,99.11214953271028,84.18151760455262,3.9676482972002325,11.117647058823529,102
full,6,top20pct,True,False,13.328553749766513,14.740540319505978,3.33214478742938,16.594049739529176,0.8032128358646637,-24.588109297617255,68.24766355140187,25.77163259257938,1.2305908319828474,34.1764705882353,204
first_half,6,top20pct,True,False,14.739395741187167,16.07146058537756,2.1200807577076866,16.547405281834113,0.8907375803122562,-24.588109297617255,61.046240074731436,24.023583889378543,1.1476247800039974,23.892156862745097,102
second_half,6,top20pct,True,False,12.187406835356285,13.684035652276272,4.522746527831556,16.59396853160793,0.7344479900719291,-19.720438115764395,74.57943925233644,27.582752796374592,1.3164810769892732,44.46078431372549,102
full,6,top20pct,True,True,5.449815076056197,8.354635172463777,-4.546593886280936,20.21705946631152,0.2695651702037795,-62.683362161222234,65.77102803738318,56.506314083802266,2.680845255751274,5.8088235294117645,204
first_half,6,top20pct,True,True,2.2169515867949574,4.703686925620643,-10.402363396684523,22.234842474564907,0.09970619712422041,-62.683362161222234,56.095282578234475,49.98064756200593,2.375021751232309,3.715686274509804,102
second_half,6,top20pct,True,True,8.919913791614565,12.245533236353978,1.2552534840898364,17.928656537556158,0.4975227102448822,-35.023166347146116,74.57943925233644,62.54178452716722,2.962807827494307,7.901960784313726,102
full,6,top10n,False,False,11.958880671850846,14.420943142140864,1.9624717095137125,29.217783232621304,0.40930143730065394,-66.78167619877901,96.56542056074767,45.26172787602972,2.1517585877888656,9.705882352941176,204
first_half,6,top10n,False,False,16.86106872552817,19.437543966684935,4.24175374204869,29.27988747766482,0.5758583853298642,-52.75700775831464,93.13404950957496,45.375117416183144,2.157173662140466,9.411764705882353,102
second_half,6,top10n,False,False,7.378653485775,9.743534319456515,-0.28600682174972913,29.081301442548313,0.25372500953411353,-66.78167619877904,99.11214953271028,45.33052675035455,2.154915866658247,10.0,102
full,6,top10n,False,True,1.1644898235629642,4.912028492122444,-8.831919138774168,22.50804941463045,0.051736594411687875,-70.76410065581918,94.08878504672897,75.63971919226165,3.5720772178576943,9.318627450980392,204
first_half,6,top10n,False,True,6.291567769802997,9.974427871983305,-6.327747213676483,19.776311882962293,0.31813655685837533,-47.9628358576514,88.183092013078,70.83203953756293,3.3488331546197125,8.754901960784315,102
second_half,6,top10n,False,True,-3.6003564666417964,0.1832026350360838,-11.265016774166526,24.910763061384422,-0.1445301558113614,-70.76410065581918,99.11214953271028,80.05524198421529,3.77664019732058,9.882352941176471,102
full,6,top10n,True,False,19.84445309949978,21.717501979861154,9.848044137162647,24.090805416259006,0.8237355603771828,-28.842771850526617,68.24766355140187,32.27017238779862,1.538849261523012,6.862745098039215,204
first_half,6,top10n,True,False,22.19449427892659,23.969587746282684,9.57517929544711,25.25571341124378,0.8787910251248597,-28.842771850526617,61.046240074731436,30.009957945391985,1.4318781724022345,6.176470588235294,102
second_half,6,top10n,True,False,17.667072637633474,19.64640801911688,10.002412330108745,22.770774185060027,0.7758661385006792,-28.196683785305154,74.57943925233644,34.71257524468349,1.6543207725610465,7.549019607843137,102
full,6,top10n,True,True,6.36461497230929,9.137767051501555,-3.631793990027843,16.420350904039495,0.3876052959832643,-46.191221069644286,65.77102803738318,53.52432399001913,2.540964648730293,6.578431372549019,204
first_half,6,top10n,True,True,6.0567453197576615,8.456134499909007,-6.562569663721819,15.54970475775233,0.38950870219822414,-46.191221069644286,56.095282578234475,46.52398291415326,2.2123130159625526,5.607843137254902,102
second_half,6,top10n,True,True,6.800699890897022,9.93400751807818,-0.8639604166277071,17.201075556372302,0.39536480545122876,-30.092186844777846,74.57943925233644,60.13250820313988,2.850171387289724,7.549019607843137,102
full,12,top10pct,False,False,8.265136810869222,9.803702465467424,-1.7312721514679108,25.006837385680118,0.3305150780722939,-56.96497412290794,93.57476635514018,29.372153905311748,1.4011965171047414,23.598039215686274,204
first_half,12,top10pct,False,False,14.139835025676128,15.711889118997968,1.5205200421966474,25.00858183962576,0.5653993143774251,-44.54025471018266,87.15553479682391,28.47217384075395,1.358593404092756,17.970588235294116,102
second_half,12,top10pct,False,False,2.8830459813789844,4.401746170301046,-4.781614326145744,24.929926827014096,0.11564598650385578,-56.96497412290784,99.11214953271028,30.501906501823946,1.4546693370863562,29.225490196078432,102
full,12,top10pct,False,True,-0.985257971652187,2.9386874131291485,-10.98166693398932,34.68123138184867,-0.028408967398079396,-81.33359610867119,93.57476635514018,80.80698826636018,3.8119248296154873,4.186274509803922,204
first_half,12,top10pct,False,True,5.966115530368854,9.809670510759382,-6.653199453110626,37.13878649860684,0.16064379299503112,-58.91105556607036,87.15553479682391,74.08024513590185,3.5001971707163237,3.0392156862745097,102
second_half,12,top10pct,False,True,-7.438418090975752,-3.481133960160898,-15.10307839850048,31.974537857587652,-0.2326356716743161,-81.33359610867123,99.11214953271028,87.04353531838716,4.100011006326421,5.333333333333333,102
full,12,top10pct,True,False,14.234874149164177,15.46049402117129,4.238465186827044,19.89475919612154,0.7155087432241577,-22.679465339511474,65.25700934579439,22.212572040301392,1.0615058270774358,16.480392156862745,204
first_half,12,top10pct,True,False,17.408269555371024,18.524352218954764,4.788954571891544,21.473149508180654,0.8106994061927886,-22.679465339511474,55.06772536198038,19.69205241570739,0.9416483977250478,11.0,102
