rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,avg_hold_days,projected_oos_n
3,5,time5d,nostop,95,51.578947368421055,0.33012633017552767,1.2370906839475106,7.147368421052631,60
3,5,time5d,2xATR,95,50.526315789473685,0.006200310529436035,1.0036433892106447,6.768421052631579,60
3,10,close>5SMA,nostop,828,70.04830917874396,0.7317175285651676,1.7518005285909395,5.263285024154589,373
3,10,close>5SMA,2xATR,831,68.59205776173285,0.5492159794061936,1.4867001799794661,4.353790613718411,375
3,10,RSI>65,nostop,824,74.02912621359224,1.5322282297788254,2.4430271490580044,9.688106796116505,371
3,10,RSI>65,2xATR,827,69.4074969770254,1.0003010655647309,1.6615879279131889,7.136638452237001,373
3,10,RSI>70,nostop,823,73.75455650060753,1.8312348221538026,2.6531553251072464,11.730255164034022,371
3,10,RSI>70,2xATR,826,68.03874092009686,1.1590438914375618,1.6971306649877331,8.30871670702179,372
3,10,time5d,nostop,829,60.193003618817855,0.9053850595574342,1.6848219637073933,7.186972255729795,374
3,10,time5d,2xATR,831,58.844765342960294,0.7893943116190216,1.5615446984864794,6.730445246690734,375
3,15,close>5SMA,nostop,2101,68.96715849595431,0.7442814803298677,1.8038467546303345,5.257972394098049,938
3,15,close>5SMA,2xATR,2113,67.67628963558921,0.4692128052765746,1.4041551149589286,4.3809749171793655,943
3,15,RSI>65,nostop,2073,72.45537867824409,1.28768791299944,2.102865181476761,10.022190062711047,925
3,15,RSI>65,2xATR,2087,67.80067081935793,0.703434426977833,1.4311050932769385,7.187350263536176,931
3,15,RSI>70,nostop,2060,72.96116504854369,1.4884862154931358,2.189295514180506,12.27864077669903,919
3,15,RSI>70,2xATR,2074,66.48987463837994,0.7796095263566091,1.4354051768989278,8.352459016393443,925
3,15,time5d,nostop,2098,58.10295519542421,0.7614738220403451,1.5588534728545622,7.169208770257388,936
3,15,time5d,2xATR,2107,56.810631229235874,0.5877984716158304,1.3931213998630985,6.716658756525866,940
3,20,close>5SMA,nostop,3862,68.12532366649404,0.5225814064312296,1.5115111819397031,5.322112894873123,1723
3,20,close>5SMA,2xATR,3910,66.62404092071611,0.2830848368246667,1.231312549856356,4.366751918158568,1745
3,20,RSI>65,nostop,3722,73.15959161740999,1.0766330585163462,1.9093463755094406,9.77162815690489,1661
