cell,year,n_trades
2|15|time5d|nostop,1997,219
2|15|time5d|nostop,1998,218
2|15|time5d|nostop,1999,275
2|15|time5d|nostop,2000,234
2|15|time5d|nostop,2002,24
2|15|time5d|nostop,2003,392
2|15|time5d|nostop,2004,480
2|15|time5d|nostop,2005,652
2|15|time5d|nostop,2006,592
2|15|time5d|nostop,2007,717
2|15|time5d|nostop,2009,430
2|15|time5d|nostop,2010,636
2|15|time5d|nostop,2011,646
2|15|time5d|nostop,2012,924
2|15|time5d|2xATR,1982,5
2|15|time5d|2xATR,1983,11
2|15|time5d|2xATR,1985,3
2|15|time5d|2xATR,1986,4
2|15|time5d|2xATR,1987,16
2|15|time5d|2xATR,1988,3
2|15|time5d|2xATR,1989,18
2|15|time5d|2xATR,1990,8
2|15|time5d|2xATR,1991,26
2|15|time5d|2xATR,1992,24
2|15|time5d|2xATR,1993,46
2|15|time5d|2xATR,1994,23
2|15|time5d|2xATR,1995,102
2|15|time5d|2xATR,1996,153
2|15|time5d|2xATR,1997,225
2|15|time5d|2xATR,1998,223
2|15|time5d|2xATR,1999,279
2|15|time5d|2xATR,2000,236
2|15|time5d|2xATR,2002,24
2|15|time5d|2xATR,2003,396
2|15|time5d|2xATR,2004,485
2|15|time5d|2xATR,2005,664
2|15|time5d|2xATR,2006,603
2|15|time5d|2xATR,2007,733
2|15|time5d|2xATR,2009,430
2|15|time5d|2xATR,2010,652
2|15|time5d|2xATR,2011,651
2|15|time5d|2xATR,2012,936
2|20|close>5SMA|nostop,1982,7
2|20|close>5SMA|nostop,1983,15
2|20|close>5SMA|nostop,1985,4
2|20|close>5SMA|nostop,1986,8
2|20|close>5SMA|nostop,1987,18
2|20|close>5SMA|nostop,1988,3
2|20|close>5SMA|nostop,1989,20
2|20|close>5SMA|nostop,1990,9
2|20|close>5SMA|nostop,1991,35
2|20|close>5SMA|nostop,1992,25
2|20|close>5SMA|nostop,1993,61
2|20|close>5SMA|nostop,1994,34
2|20|close>5SMA|nostop,1995,139
2|20|close>5SMA|nostop,1996,194
2|20|close>5SMA|nostop,1997,305
2|20|close>5SMA|nostop,1998,297
2|20|close>5SMA|nostop,1999,394
2|20|close>5SMA|nostop,2000,310
2|20|close>5SMA|nostop,2002,35
2|20|close>5SMA|nostop,2003,544
2|20|close>5SMA|nostop,2004,652
2|20|close>5SMA|nostop,2005,857
2|20|close>5SMA|nostop,2006,803
2|20|close>5SMA|nostop,2007,959
2|20|close>5SMA|nostop,2009,597
2|20|close>5SMA|nostop,2010,937
2|20|close>5SMA|nostop,2011,845
2|20|close>5SMA|nostop,2012,1251
2|20|close>5SMA|2xATR,1982,7
2|20|close>5SMA|2xATR,1983,15
2|20|close>5SMA|2xATR,1985,4
