instrument,rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,max_dd_pct,tim_pct,ann_ret_pct,ann_over_tim
^GSPC,2,10,RSI>65,nostop,629,58.9825119236884,-0.08630916198164483,0.8759965622295091,-80.94418531342322,16.9532018550616,-0.805820892679554,-4.753207680583156
^GSPC,2,10,RSI>65,2xATR,686,57.14285714285714,-0.10017340045383731,0.8564018490102564,-77.77687100141402,14.423572398931933,-0.9393951494749642,-6.512915964872382
^GSPC,2,10,time3d,nostop,738,47.289972899729,-0.16076793237303622,0.769509099585057,-79.31341679842703,13.823956527849345,-1.5250494820620464,-11.031931986980178
^GSPC,2,10,time3d,2xATR,757,47.15984147952444,-0.12528560339692194,0.8126701208473047,-75.20966659425852,13.678737059071533,-1.2349419493706049,-9.02818691548435
^GSPC,2,15,close>5SMA,nostop,861,54.70383275261324,-0.21577817204430713,0.688858399337916,-91.38456520906898,20.119923174216517,-2.36088387841763,-11.734060105373958
^GSPC,2,15,close>5SMA,2xATR,951,54.363827549947416,-0.15702281525607323,0.7551224639769744,-89.96441803021519,17.787042675785823,-1.8882353084632042,-10.615791185084019
^GSPC,2,15,RSI>65,nostop,820,55.243902439024396,-0.1944208966114808,0.7324837295472082,-92.25699289641274,21.942193282428445,-2.0637637138089415,-9.40545772815531
^GSPC,2,15,RSI>65,2xATR,917,54.52562704471101,-0.16235868059277855,0.7693790025763643,-90.41847816336342,18.752049468309366,-1.901208619024941,-10.138671094260658
^GSPC,2,15,time3d,nostop,1004,43.12749003984064,-0.25170191066037795,0.661050857438383,-94.37922731663915,18.81294795521619,-3.1109580646149326,-16.53626040969496
^GSPC,2,15,time3d,2xATR,1031,42.580019398642094,-0.20036472616459983,0.7115471079556739,-91.92657243350239,18.53656251463906,-2.5584376313930735,-13.802114763039663
^GSPC,2,20,close>5SMA,nostop,1017,51.81907571288102,-0.3183718638049957,0.5741094064986043,-97.28918549316013,23.736356396683377,-3.9934730981091793,-16.824288578120512
^GSPC,2,20,close>5SMA,2xATR,1141,51.97195442594216,-0.20312753158435765,0.6950578015728178,-96.19077943191662,21.150512952639716,-2.866568778258416,-13.553187975522127
^GSPC,2,20,RSI>65,nostop,963,53.79023883696781,-0.29395014084676724,0.6213666948203956,-97.18135982560017,25.657000983744787,-3.547737617899016,-13.827561608415245
^GSPC,2,20,RSI>65,2xATR,1098,53.551912568306015,-0.18370811739117432,0.7423703016497586,-95.88540824463344,22.20920972501991,-2.551241181430397,-11.487311854038111
^GSPC,2,20,time3d,nostop,1201,40.88259783513738,-0.3131526996221193,0.5991104883631129,-98.42320954406287,22.504333161568372,-4.550340363022221,-20.219840909541077
^GSPC,2,20,time3d,2xATR,1237,40.50121261115602,-0.24750295108511858,0.6591301399300562,-97.48010636229739,22.26073921394107,-3.7320879597246726,-16.765337053081353
^GSPC,2,30,close>5SMA,nostop,1300,48.769230769230774,-0.4300121668428995,0.45055810177563443,-99.73643722915769,29.97610905513655,-6.691133396386595,-22.32155408855519
^GSPC,2,30,close>5SMA,2xATR,1503,49.434464404524284,-0.3265171337052408,0.542928991504203,-99.56258279509682,26.874970721881297,-5.828072069198842,-21.685873184798268
^GSPC,2,30,RSI>65,nostop,1220,50.73770491803279,-0.4126811897323905,0.4880220128637318,-99.54454757366801,31.793694664355648,-6.082752865953389,-19.131947168042874
^GSPC,2,30,RSI>65,2xATR,1440,51.24999999999999,-0.3149573495830018,0.5836718492665254,-99.43453058217608,27.839977514404836,-5.43543454440133,-19.523846747322093
^GSPC,2,30,time3d,nostop,1561,41.383728379244076,-0.34140000104227086,0.5810309950320597,-99.65649578770874,29.240642713261817,-6.3764657817900305,-21.806859186778563
